Date/Time,Word Count,en,es,es-MX,pt-BR
2019.06.30-10.55.29,102,102,0,0,0
2019.06.30-11.08.17,102,102,0,0,16
2019.06.30-11.16.07,103,103,0,0,82
2019.06.30-11.25.48,103,103,0,0,90
2019.06.30-12.31.34,103,103,0,91,91
2019.06.30-15.06.20,72,72,0,60,60
2019.06.30-15.08.59,72,72,38,60,60
2019.06.30-15.27.41,72,72,60,0,60
2019.07.01-00.49.44,74,74,60,0,60
2019.07.01-00.52.49,74,74,64,0,64
2019.07.01-00.55.06,74,74,63,0,63
2019.07.01-00.57.26,74,74,64,0,64
2019.07.01-01.09.39,75,75,64,0,64
2019.07.01-01.11.13,75,75,65,0,65
2019.07.01-01.53.59,76,76,62,0,62
2019.07.01-01.56.18,76,76,66,0,66
2019.07.01-01.58.10,77,77,63,0,63
2019.07.01-02.07.22,77,77,67,0,67
2019.07.03-01.34.34,81,81,65,0,65
2019.07.03-01.39.41,81,81,71,0,71
